season,week,home_team,away_team,model_spread,sigma,actual_margin,closing_spread_home,edge,model_side_correct,vegas_side_correct,edge_bucket,abs_edge,chosen_side,p_win,ev_per_1,breakeven_p,won,bet_side
2020,13,PIT,WAS,5.287529635465799,7.943190336058034,-6.0,5.5,-0.2124703645342007,False,False,"(-1, 1]",0.2124703645342007,HOME,0.7811398883852793,0.491267059644624,0.5238095238095238,False,PIT +5.5
2022,5,BAL,CIN,7.781930925066048,7.943190336058034,2.0,3.0,4.781930925066048,True,True,"(3, 5]",4.781930925066048,HOME,0.78102096818284,0.49104003016723985,0.5238095238095238,True,BAL +3.0
2021,17,IND,LV,2.280538652182673,7.943190336058034,-3.0,8.5,-6.219461347817327,False,False,"(-7, -5]",6.219461347817327,HOME,0.7809913896438894,0.4909835620474251,0.5238095238095238,True,IND +8.5
2019,6,KC,HOU,7.279494624620657,7.943190336058034,-7.0,3.5,3.779494624620657,False,False,"(3, 5]",3.779494624620657,HOME,0.7809692079946353,0.4909412152624856,0.5238095238095238,False,KC +3.5
2024,11,PHI,WAS,6.2788056507868575,7.943190336058034,8.0,4.5,1.7788056507868577,True,True,"(1, 2]",1.7788056507868577,HOME,0.7809545691907782,0.49091326845512206,0.5238095238095238,True,PHI +4.5
2021,14,TEN,JAX,2.2696497530445456,7.943190336058034,20.0,8.5,-6.230350246955455,True,True,"(-7, -5]",6.230350246955455,HOME,0.780759978068233,0.4905417763120813,0.5238095238095238,True,TEN +8.5
2021,17,CHI,NYG,3.768785625243028,7.943190336058034,26.0,7.0,-3.231214374756972,True,True,"(-5, -3]",3.231214374756972,HOME,0.7807416075517907,0.4905067053261458,0.5238095238095238,True,CHI +7.0
2024,15,DEN,IND,6.266083063476068,7.943190336058034,18.0,4.5,1.766083063476068,True,True,"(1, 2]",1.766083063476068,HOME,0.7806841480074032,0.49039700983231505,0.5238095238095238,True,DEN +4.5
2018,4,JAX,NYJ,3.2646360734703883,7.943190336058034,19.0,7.5,-4.235363926529612,True,True,"(-5, -3]",4.235363926529612,HOME,0.7806533797933936,0.4903382705146604,0.5238095238095238,True,JAX +7.5
2020,3,DEN,TB,-4.761319583072791,7.943190336058034,-18.0,-6.0,1.2386804169272088,True,True,"(1, 2]",1.2386804169272088,AWAY,0.7805828499170047,0.4902036225688271,0.5238095238095238,True,TB +6.0
