season,week,away_team,home_team,closing_spread_home,model_spread,raw_edge,norm_edge,bet_side,won
2019,10,LAC,OAK,-1.0,-5.14203374880032,-4.14203374880032,-0.5917191069714743,LAC +1.0,False
2022,12,DEN,CAR,-1.0,-5.149661137587496,-4.149661137587496,-0.5928087339410709,DEN +1.0,False
2020,7,DET,ATL,1.0,-3.172695548268836,-4.172695548268836,-0.5960993640384051,DET -1.0,True
2023,18,DEN,LV,3.5,-0.6854920861480817,-4.1854920861480815,-0.5979274408782974,DEN -3.5,False
2020,16,MIN,NO,6.5,2.303955223929809,-4.196044776070191,-0.5994349680100273,MIN -6.5,False
2023,9,TB,HOU,2.5,-1.700496412098291,-4.200496412098291,-0.6000709160140415,TB -2.5,False
2024,8,NO,LAC,7.0,2.773039222945473,-4.226960777054527,-0.6038515395792182,NO -7.0,False
2021,1,DAL,TB,10.0,3.928352404217602,-6.071647595782398,-0.6071647595782398,DAL -10.0,False
2020,4,MIN,HOU,3.5,-0.7570219839209987,-4.257021983920999,-0.6081459977029998,MIN -3.5,True
2024,18,SF,ARI,4.5,0.2338307178385589,-4.266169282161441,-0.6094527545944917,SF -4.5,False
2020,10,SF,NO,9.5,3.696998257291604,-5.803001742708396,-0.610842288706147,SF -9.5,False
2019,11,PIT,CLE,3.0,-1.283840731472096,-4.283840731472096,-0.6119772473531565,PIT -3.0,False
2020,7,PIT,TEN,1.0,-3.294354682859787,-4.294354682859787,-0.613479240408541,PIT -1.0,True
2022,12,TB,CLE,-3.0,-7.299305327853504,-4.299305327853504,-0.6141864754076434,TB +3.0,False
2024,1,DAL,CLE,2.5,-1.7997877742140285,-4.299787774214028,-0.6142553963162898,DAL -2.5,True
2018,6,PHI,NYG,-1.5,-5.802097660053907,-4.302097660053907,-0.614585380007701,PHI +1.5,True
2021,1,LAC,WAS,2.5,-1.8268747870592577,-4.326874787059258,-0.6181249695798939,LAC -2.5,True
2018,6,IND,NYJ,2.5,-1.8269862472985985,-4.326986247298598,-0.6181408924712283,IND -2.5,False
2021,12,TEN,NE,7.5,2.855521950150369,-4.644478049849631,-0.6192637399799509,TEN -7.5,False
2018,1,SEA,DEN,3.0,-1.3405829658300903,-4.34058296583009,-0.62008328083287,SEA -3.0,False
2022,4,ARI,CAR,1.0,-3.344133404676215,-4.3441334046762154,-0.6205904863823165,ARI -1.0,True
2020,8,DAL,PHI,10.0,3.784133110272637,-6.215866889727363,-0.6215866889727363,DAL -10.0,False
2020,3,WAS,CLE,7.5,2.8324846846566887,-4.667515315343311,-0.6223353753791082,WAS -7.5,False
2022,1,GB,MIN,2.5,-1.8906898218470745,-4.390689821847074,-0.6272414031210106,GB -2.5,False
2021,6,MIN,CAR,-2.5,-6.894254397585977,-4.394254397585977,-0.6277506282265681,MIN +2.5,True
2019,5,GB,DAL,3.5,-0.9029062673204102,-4.40290626732041,-0.6289866096172014,GB -3.5,True
2018,6,TB,ATL,3.0,-1.4206988506696567,-4.420698850669657,-0.6315284072385224,TB -3.0,False
2024,5,DAL,PIT,2.5,-1.9234660322891968,-4.4234660322891965,-0.6319237188984567,DAL -2.5,True
2021,3,IND,TEN,4.5,0.0725099012496233,-4.4274900987503765,-0.6324985855357681,IND -4.5,False
2019,15,HOU,TEN,3.0,-1.4487694870461496,-4.44876948704615,-0.63553849814945,HOU -3.0,True
2019,14,KC,NE,3.0,-1.486688248136564,-4.486688248136564,-0.6409554640195091,KC -3.0,True
2023,14,TB,ATL,1.5,-2.993565425460493,-4.493565425460493,-0.6419379179229275,TB -1.5,True
2019,17,LAC,KC,10.0,3.556655018548482,-6.443344981451518,-0.6443344981451518,LAC -10.0,False
2022,13,BUF,NE,-3.5,-8.051839035768394,-4.551839035768394,-0.6502627193954849,BUF +3.5,True
2023,16,ARI,CHI,4.5,-0.0599605104042638,-4.559960510404264,-0.651422930057752,ARI -4.5,False
